
===== monitoreo iniciado  2026-08-04 11:04:57  (ether1 y ether2) =====
2026-08-04 11:04:58  ether1     UP    IN 1.67 kbps    OUT 600 bps
2026-08-04 11:56:15  ether2     UP    IN 2.36 kbps    OUT 0 bps
2026-08-04 11:56:16  ether1     UP    IN 40.26 kbps   OUT 26.85 kbps
2026-08-04 11:56:16  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:56:17  ether1     UP    IN 15.17 kbps   OUT 20.05 kbps
2026-08-04 11:56:17  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:56:19  ether1     UP    IN 69.21 kbps   OUT 52.36 kbps
2026-08-04 11:56:19  ether2     UP    IN 19.00 kbps   OUT 5.98 kbps
2026-08-04 11:56:20  ether1     UP    IN 3.39 kbps    OUT 1.57 kbps
2026-08-04 11:56:20  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:56:21  ether1     UP    IN 56.14 kbps   OUT 46.27 kbps
2026-08-04 11:56:21  ether2     UP    IN 6.98 kbps    OUT 0 bps
2026-08-04 11:56:23  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:23  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:24  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:24  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:25  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:25  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:26  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:26  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:28  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:28  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:29  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:29  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:30  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:30  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:31  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:31  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:32  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:32  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:34  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:34  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:35  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:35  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:36  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:36  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:37  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:37  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:39  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:39  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:40  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:40  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:41  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:41  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:42  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:42  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:44  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:44  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:45  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:45  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:46  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:46  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:47  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:48  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:49  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:49  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:50  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:50  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:51  ether1     UP    IN 44.45 kbps   OUT 31.58 kbps
2026-08-04 11:56:51  ether2     UP    IN 6.80 kbps    OUT 4.46 kbps
2026-08-04 11:56:53  ether1     UP    IN 9.02 kbps    OUT 14.95 kbps
2026-08-04 11:56:53  ether2     UP    IN 8.31 kbps    OUT 4.46 kbps
2026-08-04 11:56:54  ether1     UP    IN 40.90 kbps   OUT 28.19 kbps
2026-08-04 11:56:54  ether2     UP    IN 10.22 kbps   OUT 0 bps
2026-08-04 11:56:56  ether1     UP    IN 52.03 kbps   OUT 45.47 kbps
2026-08-04 11:56:56  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:56:57  ether1     UP    IN 3.09 kbps    OUT 784 bps
2026-08-04 11:56:57  ether2     UP    IN 2.30 kbps    OUT 0 bps
2026-08-04 11:56:58  ether1     UP    IN 50.74 kbps   OUT 42.94 kbps
2026-08-04 11:56:58  ether2     UP    IN 1.81 kbps    OUT 0 bps
2026-08-04 11:57:00  ether1     UP    IN 3.42 kbps    OUT 1.58 kbps
2026-08-04 11:57:00  ether2     UP    IN 1.84 kbps    OUT 0 bps
2026-08-04 11:57:01  ether1     UP    IN 52.56 kbps   OUT 45.22 kbps
2026-08-04 11:57:01  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:02  ether1     UP    IN 39.73 kbps   OUT 28.29 kbps
2026-08-04 11:57:02  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:57:04  ether1     UP    IN 15.17 kbps   OUT 17.97 kbps
2026-08-04 11:57:04  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:57:05  ether1     UP    IN 52.02 kbps   OUT 45.34 kbps
2026-08-04 11:57:05  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:57:06  ether1     UP    IN 39.42 kbps   OUT 26.59 kbps
2026-08-04 11:57:06  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:57:08  ether1     UP    IN 14.38 kbps   OUT 18.62 kbps
2026-08-04 11:57:08  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:57:09  ether1     UP    IN 52.02 kbps   OUT 45.74 kbps
2026-08-04 11:57:09  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:57:10  ether1     UP    IN 40.26 kbps   OUT 27.38 kbps
2026-08-04 11:57:10  ether2     DOWN  IN 0 bps        OUT 0 bps
2026-08-04 11:57:12  ether1     UP    IN 15.17 kbps   OUT 22.53 kbps
2026-08-04 11:57:12  ether2     UP    IN 0 bps        OUT 4.95 kbps
2026-08-04 11:57:13  ether1     UP    IN 50.96 kbps   OUT 44.42 kbps
2026-08-04 11:57:13  ether2     UP    IN 2.34 kbps    OUT 1.73 kbps
2026-08-04 11:57:15  ether1     UP    IN 3.39 kbps    OUT 6.03 kbps
2026-08-04 11:57:15  ether2     UP    IN 6.29 kbps    OUT 1.04 kbps
2026-08-04 11:57:16  ether1     UP    IN 40.66 kbps   OUT 27.66 kbps
2026-08-04 11:57:16  ether2     UP    IN 1.84 kbps    OUT 0 bps
2026-08-04 11:57:17  ether1     UP    IN 15.68 kbps   OUT 19.01 kbps
2026-08-04 11:57:18  ether2     UP    IN 2.34 kbps    OUT 0 bps
2026-08-04 11:57:19  ether1     UP    IN 32.02 kbps   OUT 26.06 kbps
2026-08-04 11:57:19  ether2     UP    IN 2.34 kbps    OUT 1.51 kbps
2026-08-04 11:57:21  ether1     UP    IN 46.46 kbps   OUT 26.58 kbps
2026-08-04 11:57:21  ether2     UP    IN 6.91 kbps    OUT 1.50 kbps
2026-08-04 11:57:22  ether1     UP    IN 20.62 kbps   OUT 20.25 kbps
2026-08-04 11:57:22  ether2     UP    IN 6.60 kbps    OUT 0 bps
2026-08-04 11:57:23  ether1     UP    IN 20.62 kbps   OUT 20.25 kbps
2026-08-04 11:57:24  ether2     UP    IN 2.34 kbps    OUT 0 bps
2026-08-04 11:57:25  ether1     UP    IN 41.30 kbps   OUT 27.38 kbps
2026-08-04 11:57:25  ether2     UP    IN 2.34 kbps    OUT 0 bps
2026-08-04 11:57:26  ether1     UP    IN 14.91 kbps   OUT 18.22 kbps
2026-08-04 11:57:26  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:27  ether1     UP    IN 51.60 kbps   OUT 46.06 kbps
2026-08-04 11:57:27  ether2     UP    IN 2.31 kbps    OUT 0 bps
2026-08-04 11:57:29  ether1     UP    IN 28.58 kbps   OUT 25.82 kbps
2026-08-04 11:57:29  ether2     UP    IN 1.75 kbps    OUT 0 bps
2026-08-04 11:57:30  ether1     UP    IN 25.65 kbps   OUT 21.03 kbps
2026-08-04 11:57:30  ether2     UP    IN 2.43 kbps    OUT 0 bps
2026-08-04 11:57:31  ether1     UP    IN 50.45 kbps   OUT 44.94 kbps
2026-08-04 11:57:31  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:33  ether1     UP    IN 3.90 kbps    OUT 1.57 kbps
2026-08-04 11:57:33  ether2     UP    IN 2.34 kbps    OUT 0 bps
2026-08-04 11:57:34  ether1     UP    IN 51.50 kbps   OUT 44.16 kbps
2026-08-04 11:57:34  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:35  ether1     UP    IN 40.77 kbps   OUT 25.79 kbps
2026-08-04 11:57:35  ether2     UP    IN 2.34 kbps    OUT 0 bps
2026-08-04 11:57:37  ether1     UP    IN 15.70 kbps   OUT 20.59 kbps
2026-08-04 11:57:37  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:38  ether1     UP    IN 50.45 kbps   OUT 46.38 kbps
2026-08-04 11:57:38  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:39  ether1     UP    IN 29.20 kbps   OUT 25.26 kbps
2026-08-04 11:57:39  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:41  ether1     UP    IN 24.38 kbps   OUT 20.85 kbps
2026-08-04 11:57:41  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:42  ether1     UP    IN 52.03 kbps   OUT 46.40 kbps
2026-08-04 11:57:42  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:43  ether1     UP    IN 22.45 kbps   OUT 17.08 kbps
2026-08-04 11:57:43  ether2     UP    IN 2.29 kbps    OUT 0 bps
2026-08-04 11:57:45  ether1     UP    IN 32.36 kbps   OUT 28.88 kbps
2026-08-04 11:57:45  ether2     UP    IN 2.38 kbps    OUT 0 bps
2026-08-04 11:57:46  ether1     UP    IN 29.73 kbps   OUT 27.38 kbps
2026-08-04 11:57:46  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:48  ether1     UP    IN 58.36 kbps   OUT 36.22 kbps
2026-08-04 11:57:48  ether2     UP    IN 13.40 kbps   OUT 5.98 kbps
2026-08-04 11:57:49  ether1     UP    IN 8.02 kbps    OUT 15.59 kbps
2026-08-04 11:57:49  ether2     UP    IN 2.31 kbps    OUT 0 bps
2026-08-04 11:57:50  ether1     UP    IN 8.02 kbps    OUT 15.59 kbps
2026-08-04 11:57:51  ether2     UP    IN 2.31 kbps    OUT 0 bps
2026-08-04 11:57:52  ether1     UP    IN 34.88 kbps   OUT 20.14 kbps
2026-08-04 11:57:52  ether2     UP    IN 3.30 kbps    OUT 4.46 kbps
2026-08-04 11:57:53  ether1     UP    IN 30.41 kbps   OUT 31.47 kbps
2026-08-04 11:57:53  ether2     UP    IN 11.00 kbps   OUT 0 bps
2026-08-04 11:57:55  ether1     UP    IN 39.46 kbps   OUT 27.12 kbps
2026-08-04 11:57:55  ether2     UP    IN 2.34 kbps    OUT 0 bps
2026-08-04 11:57:56  ether1     UP    IN 15.17 kbps   OUT 22.14 kbps
2026-08-04 11:57:56  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:58  ether1     UP    IN 39.73 kbps   OUT 27.38 kbps
2026-08-04 11:57:58  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:57:59  ether1     UP    IN 15.68 kbps   OUT 19.01 kbps
2026-08-04 11:57:59  ether2     UP    IN 2.34 kbps    OUT 0 bps
2026-08-04 11:58:00  ether1     UP    IN 39.73 kbps   OUT 27.38 kbps
2026-08-04 11:58:00  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:58:02  ether1     UP    IN 14.50 kbps   OUT 19.34 kbps
2026-08-04 11:58:02  ether2     UP    IN 1.81 kbps    OUT 0 bps
2026-08-04 11:58:03  ether1     UP    IN 51.75 kbps   OUT 45.01 kbps
2026-08-04 11:58:03  ether2     UP    IN 2.36 kbps    OUT 0 bps
2026-08-04 11:58:04  ether1     UP    IN 40.99 kbps   OUT 30.98 kbps
2026-08-04 11:58:05  ether2     UP    IN 1.82 kbps    OUT 0 bps
2026-08-04 11:58:06  ether1     UP    IN 34.31 kbps   OUT 31.93 kbps
2026-08-04 11:58:06  ether2     UP    IN 1.94 kbps    OUT 0 bps
2026-08-04 11:58:07  ether1     UP    IN 19.96 kbps   OUT 16.21 kbps
2026-08-04 11:58:07  ether2     UP    IN 1.81 kbps    OUT 0 bps
2026-08-04 11:58:09  ether1     UP    IN 35.07 kbps   OUT 30.84 kbps
2026-08-04 11:58:09  ether2     UP    IN 2.36 kbps    OUT 0 bps
2026-08-04 11:58:10  ether1     UP    IN 30.24 kbps   OUT 25.79 kbps
2026-08-04 11:58:10  ether2     UP    IN 2.34 kbps    OUT 0 bps
2026-08-04 11:58:11  ether1     UP    IN 25.15 kbps   OUT 21.63 kbps
2026-08-04 11:58:11  ether2     UP    IN 2.34 kbps    OUT 0 bps
2026-08-04 11:58:13  ether1     UP    IN 40.66 kbps   OUT 26.58 kbps
2026-08-04 11:58:13  ether2     UP    IN 1.84 kbps    OUT 0 bps
2026-08-04 11:58:14  ether1     UP    IN 40.66 kbps   OUT 26.58 kbps
2026-08-04 11:58:14  ether2     UP    IN 1.82 kbps    OUT 0 bps
